Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac
Liberty,Pennsylvania,Pennsylvania,1190.0,620.0,570.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,8.0,16.0,3.0,1.0,100.0,100.0,107.0,54.0,Pennsylvania,67.0,77.0,97.0,100.0
Mount Pleasant of Edinboro,Pennsylvania,Pennsylvania,1540.0,340.0,1200.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,10.0,0.0,0.5,40.0,35.0,75.0,48.0,Pennsylvania,30.0,33.0,90.0,35.0
Roundtop Mountain Resort,Pennsylvania,Pennsylvania,1400.0,600.0,800.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,8.0,20.0,2.0,0.4,103.0,103.0,114.7324414715719,55.0,Pennsylvania,63.0,73.0,120.26086956521739,100.0
Seven Springs,Pennsylvania,Pennsylvania,2994.0,750.0,2240.0,0.0,0.0,2.0,0.0,3.0,5.0,0.0,4.0,14.0,33.0,7.0,1.2,285.0,285.0,99.0,87.0,Pennsylvania,67.0,87.0,115.0,200.0
Shawnee Mountain Ski Area,Pennsylvania,Pennsylvania,1350.0,700.0,650.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,4.0,10.0,23.0,2.0,1.6,125.0,125.0,100.0,44.0,Pennsylvania,55.0,65.0,122.0,120.0
Ski Sawmill,Pennsylvania,Pennsylvania,2215.0,515.0,1700.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,14.0,1.0,0.1,15.0,13.0,90.0,50.0,Pennsylvania,30.0,44.0,90.0,15.0
Montage Mountain,Pennsylvania,Pennsylvania,1960.0,1000.0,960.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,7.0,26.0,1.0,1.2,140.0,140.0,60.0,35.0,Pennsylvania,67.0,64.1668100358423,90.0,140.0
Spring Mountain Ski Area,Pennsylvania,Pennsylvania,528.0,450.0,78.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,6.0,9.0,1.0,0.2,45.0,45.0,100.0,56.0,Pennsylvania,57.91695652173913,64.1668100358423,100.0,45.0
Tussey Mountain,Pennsylvania,Pennsylvania,1750.0,520.0,1230.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,8.0,1.0,0.3,38.0,30.0,100.0,39.0,Pennsylvania,40.0,45.0,100.0,30.0
Whitetail Resort,Pennsylvania,Pennsylvania,1800.0,935.0,865.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,2.0,8.0,23.0,2.0,1.0,120.0,120.0,116.0,28.0,Pennsylvania,69.0,71.0,100.0,120.0
Yawgoo Valley,Rhode Island,Rhode Island,315.0,245.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,13.0,1.0,0.2,30.0,30.0,100.0,54.0,Rhode Island,57.91695652173913,64.1668100358423,100.0,30.0
Deer Mountain Ski Resort,South Dakota,South Dakota,6850.0,940.0,6040.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,63.0,2.0,1.6,500.0,50.0,69.0,51.0,South Dakota,45.0,45.0,81.0,0.0
Terry Peak Ski Area,South Dakota,South Dakota,7100.0,1100.0,5900.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,5.0,30.0,1.0,1.2,450.0,225.0,114.0,65.0,South Dakota,58.0,58.0,120.0,0.0
Alta Ski Area,Salt Lake City,Utah,11068.0,2538.0,8530.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,6.0,116.0,0.0,1.3,2614.0,140.0,150.0,81.0,Salt Lake City,116.0,116.0,140.0,0.0
Beaver Mountain,Utah,Utah,8600.0,1600.0,7232.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,5.0,48.0,2.0,0.8,464.0,0.0,120.0,81.0,Utah,50.0,50.0,120.0,0.0
Brian Head Resort,Utah,Utah,10970.0,1548.0,9600.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,8.0,71.0,2.0,0.6,650.0,216.0,149.0,54.0,Utah,42.0,59.0,148.0,0.0
Brighton Resort,Salt Lake City,Utah,10500.0,1745.0,8755.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,7.0,66.0,4.0,1.2,1050.0,200.0,138.0,83.0,Salt Lake City,85.0,85.0,138.0,200.0
Deer Valley Resort,Salt Lake City,Utah,9570.0,3000.0,6570.0,1.0,0.0,0.0,13.0,0.0,5.0,2.0,0.0,21.0,103.0,0.0,2.8,2026.0,660.0,114.7324414715719,39.0,Salt Lake City,169.0,169.0,120.26086956521739,0.0
Eagle Point,Utah,Utah,10600.0,1500.0,9100.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,5.0,40.0,1.0,0.9,650.0,0.0,109.0,9.0,Utah,45.0,60.0,109.0,0.0
Park City,Salt Lake City,Utah,10000.0,3200.0,6800.0,4.0,0.0,6.0,10.0,4.0,7.0,4.0,6.0,41.0,341.0,8.0,3.5,7300.0,750.0,142.0,56.0,Salt Lake City,57.91695652173913,64.1668100358423,143.0,0.0
Powder Mountain,Utah,Utah,9422.0,2522.0,6900.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,3.0,9.0,167.0,2.0,3.5,8464.0,0.0,120.0,47.0,Utah,88.0,88.0,146.0,300.0
Snowbasin,Utah,Utah,9350.0,2900.0,6450.0,3.0,0.0,1.0,2.0,0.0,3.0,0.0,2.0,11.0,107.0,4.0,3.5,3000.0,625.0,143.0,79.0,Utah,115.0,115.0,138.0,0.0
Snowbird,Salt Lake City,Utah,11000.0,3240.0,7760.0,1.0,0.0,0.0,6.0,0.0,0.0,4.0,3.0,14.0,170.0,1.0,2.5,2500.0,0.0,188.0,48.0,Salt Lake City,125.0,125.0,180.0,2.0
Solitude Mountain Resort,Salt Lake City,Utah,10488.0,2494.0,7994.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,9.0,80.0,0.0,3.0,1200.0,150.0,161.0,62.0,Salt Lake City,109.0,119.0,148.0,0.0
Sundance,Utah,Utah,8250.0,2150.0,6100.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,5.0,45.0,1.0,0.6,450.0,112.0,128.0,50.0,Utah,80.0,80.0,129.0,0.0
Nordic Valley Resort,Utah,Utah,6400.0,960.0,5440.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,23.0,1.0,0.4,140.0,84.0,105.0,51.0,Utah,45.0,50.0,105.0,140.0
Bolton Valley,Vermont,Vermont,3150.0,1704.0,1446.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,6.0,71.0,3.0,0.6,300.0,90.0,133.0,53.0,Vermont,69.0,79.0,132.0,50.0
Bromley Mountain,Vermont,Vermont,3284.0,1334.0,1950.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,3.0,9.0,47.0,1.0,2.5,178.0,153.0,152.0,83.0,Vermont,87.0,91.0,152.0,0.0
Burke Mountain,Vermont,Vermont,3267.0,2011.0,1210.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,6.0,50.0,3.0,2.2,178.0,125.0,110.0,62.0,Vermont,73.0,73.0,125.0,0.0
Jay Peak,Vermont,Vermont,3968.0,2153.0,1815.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,9.0,79.0,2.0,3.0,385.0,300.0,155.0,64.0,Vermont,89.0,89.0,160.0,0.0
Killington Resort,Vermont,Vermont,4241.0,3050.0,1165.0,3.0,0.0,1.0,5.0,4.0,3.0,1.0,5.0,22.0,155.0,6.0,6.0,1515.0,600.0,192.0,61.0,Vermont,119.0,119.0,192.0,0.0
Mad River Glen,Vermont,Vermont,3637.0,2037.0,1600.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,52.0,0.0,1.0,115.0,16.0,134.0,71.0,Vermont,57.91695652173913,64.1668100358423,135.0,0.0
Magic Mountain,Vermont,Vermont,2850.0,1500.0,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,50.0,1.0,1.6,205.0,95.0,76.0,59.0,Vermont,74.0,74.0,80.0,0.0
Mount Snow,Vermont,Vermont,3600.0,1700.0,1900.0,0.0,0.0,1.0,3.0,1.0,6.0,4.0,5.0,20.0,86.0,10.0,3.0,600.0,480.0,135.0,65.0,Vermont,57.91695652173913,64.1668100358423,135.0,0.0
Okemo Mountain Resort,Vermont,Vermont,3344.0,2200.0,1144.0,0.0,0.0,1.0,4.0,5.0,3.0,0.0,7.0,20.0,121.0,9.0,4.0,667.0,654.0,146.0,63.0,Vermont,57.91695652173913,64.1668100358423,152.0,0.0
Pico Mountain ,Vermont,Vermont,3967.0,1967.0,2000.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,7.0,59.0,1.0,4.0,260.0,156.0,114.7324414715719,82.0,Vermont,81.0,81.0,120.26086956521739,0.0
Smugglers' Notch Resort,Vermont,Vermont,3640.0,2610.0,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,8.0,78.0,6.0,3.0,1000.0,192.0,136.0,63.0,Vermont,79.0,79.0,135.0,0.0
Stowe Mountain Resort,Vermont,Vermont,4395.0,2360.0,2035.0,2.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,12.0,116.0,0.0,3.7,485.0,388.0,155.0,86.0,Vermont,57.91695652173913,64.1668100358423,137.0,0.0
Stratton Mountain,Vermont,Vermont,3875.0,2003.0,1872.0,1.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,11.0,99.0,4.0,3.0,670.0,474.0,155.0,58.0,Vermont,57.91695652173913,64.1668100358423,160.0,0.0
Sugarbush,Vermont,Vermont,4083.0,2600.0,1483.0,0.0,0.0,0.0,5.0,5.0,2.0,1.0,3.0,16.0,111.0,4.0,3.0,581.0,406.0,150.0,61.0,Vermont,119.0,119.0,156.0,0.0
Suicide Six,Vermont,Vermont,1200.0,650.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,24.0,0.0,0.4,100.0,50.0,100.0,85.0,Vermont,45.0,75.0,106.0,0.0
Bryce Resort,Virginia,Virginia,1750.0,500.0,1250.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,7.0,8.0,0.0,0.4,25.0,25.0,100.0,54.0,Virginia,43.0,68.0,95.0,20.0
Massanutten,Virginia,Virginia,2925.0,1110.0,1750.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,7.0,13.0,2.0,0.8,70.0,70.0,68.0,46.0,Virginia,57.91695652173913,64.1668100358423,97.0,70.0
The Homestead Ski Area,Virginia,Virginia,3200.0,700.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,10.0,0.0,1.0,45.0,100.0,91.0,60.0,Virginia,57.91695652173913,64.1668100358423,100.0,0.0
Wintergreen Resort,Virginia,Virginia,3515.0,1003.0,2512.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,5.0,27.0,2.0,1.0,129.0,129.0,107.0,44.0,Virginia,59.0,64.1668100358423,121.0,45.0
49 Degrees North,Washington,Washington,5774.0,1851.0,3932.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,7.0,89.0,1.0,2.0,2325.0,0.0,101.0,48.0,Washington,62.0,62.0,135.0,250.0
Alpental,Washington,Washington,5420.0,2280.0,3140.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,5.0,24.0,0.0,1.2,825.0,0.0,120.0,52.0,Washington,57.91695652173913,64.1668100358423,144.0,121.0
Bluewood,Washington,Washington,5670.0,1125.0,4545.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,24.0,2.0,2.0,355.0,0.0,70.0,40.0,Washington,42.0,47.0,110.0,0.0
Crystal Mountain,Washington,Washington,7012.0,3100.0,4400.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,10.0,57.0,1.0,2.5,2600.0,10.0,114.7324414715719,57.0,Washington,99.0,99.0,120.26086956521739,0.0
Mission Ridge,Washington,Washington,6820.0,2250.0,4570.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,6.0,34.0,3.0,0.8,2000.0,66.0,104.0,53.0,Washington,57.91695652173913,64.1668100358423,96.0,500.0
Mt. Baker,Washington,Washington,5000.0,1500.0,3500.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,10.0,38.0,0.0,0.7,1000.0,0.0,143.0,66.0,Washington,53.75,60.01,165.0,0.0
Mt. Spokane Ski and Snowboard Park,Washington,Washington,5889.0,2000.0,4200.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,7.0,52.0,3.0,0.6,1704.0,0.0,100.0,81.0,Washington,45.0,59.0,103.0,45.0
Stevens Pass Resort,Washington,Washington,5845.0,1800.0,4061.0,0.0,0.0,0.0,3.0,0.0,4.0,3.0,0.0,10.0,52.0,4.0,1.0,1125.0,0.0,116.0,82.0,Washington,57.91695652173913,64.1668100358423,145.0,450.0
The Summit at Snoqualmie,Washington,Washington,3865.0,1025.0,2840.0,0.0,0.0,0.0,3.0,3.0,4.0,10.0,7.0,27.0,112.0,5.0,0.8,1994.0,5.0,120.0,82.0,Washington,85.0,95.0,140.0,541.0
White Pass,Washington,Washington,6550.0,2050.0,4500.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,8.0,45.0,2.0,2.5,1402.0,30.0,148.0,67.0,Washington,69.0,69.0,144.0,90.0
Canaan Valley Resort,West Virginia,West Virginia,4280.0,850.0,3430.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,4.0,47.0,1.0,1.2,95.0,75.0,93.0,48.0,West Virginia,52.0,68.0,93.0,0.0
Snowshoe Mountain Resort,West Virginia,West Virginia,4848.0,1500.0,3348.0,0.0,0.0,0.0,3.0,2.0,6.0,0.0,3.0,14.0,60.0,5.0,1.5,257.0,257.0,125.0,46.0,West Virginia,70.0,87.0,138.0,86.0
Timberline Four Seasons,West Virginia,West Virginia,4265.0,1000.0,3268.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,40.0,1.0,2.0,100.0,100.0,97.0,37.0,West Virginia,72.0,92.0,115.0,27.0
Winterplace Ski Resort,West Virginia,West Virginia,3600.0,603.0,2997.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,9.0,27.0,2.0,1.2,90.0,90.0,120.0,36.0,West Virginia,56.0,72.0,120.0,74.0
Alpine Valley Resort,Wisconsin,Wisconsin,1040.0,388.0,820.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,5.0,12.0,21.0,3.0,0.2,90.0,90.0,100.0,55.0,Wisconsin,56.0,65.0,120.0,90.0
Bruce Mound,Wisconsin,Wisconsin,1375.0,375.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,12.0,2.0,0.5,40.0,30.0,42.0,71.0,Wisconsin,33.0,25.0,42.0,30.0
Cascade Mountain,Wisconsin,Wisconsin,1280.0,460.0,820.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,3.0,12.0,47.0,4.0,1.1,175.0,175.0,120.0,57.0,Wisconsin,59.0,64.0,120.0,0.0
Christie Mountain,Wisconsin,Wisconsin,1650.0,350.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,30.0,4.0,0.8,45.0,41.0,92.0,43.0,Wisconsin,28.0,38.0,120.0,35.0
Christmas Mountain,Wisconsin,Wisconsin,1250.0,250.0,1000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,16.0,0.0,0.4,40.0,40.0,75.0,50.0,Wisconsin,57.91695652173913,64.1668100358423,70.0,40.0
Devils Head,Wisconsin,Wisconsin,995.0,500.0,495.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,2.0,12.0,27.0,1.0,1.0,260.0,260.0,110.0,48.0,Wisconsin,45.0,65.0,135.0,200.0
Grand Geneva,Wisconsin,Wisconsin,1086.0,211.0,875.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,20.0,1.0,0.2,30.0,30.0,90.0,25.0,Wisconsin,28.0,49.0,93.0,30.0
Granite Peak Ski Area,Wisconsin,Wisconsin,1942.0,700.0,1242.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,7.0,75.0,4.0,0.6,220.0,160.0,136.0,82.0,Wisconsin,92.0,92.0,135.0,200.0
Little Switzerland,Wisconsin,Wisconsin,1269.0,200.0,1069.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,18.0,3.0,1.0,50.0,50.0,114.7324414715719,,Wisconsin,33.0,41.0,120.26086956521739,50.0
Mount La Crosse,Wisconsin,Wisconsin,1110.0,516.0,594.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,19.0,1.0,0.4,100.0,100.0,115.0,60.0,Wisconsin,56.0,56.0,100.0,90.0
Nordic Mountain,Wisconsin,Wisconsin,1137.0,265.0,872.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,7.0,18.0,4.0,1.0,60.0,60.0,68.0,43.0,Wisconsin,57.91695652173913,47.0,90.0,60.0
Sunburst,Wisconsin,Wisconsin,1100.0,214.0,866.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,13.0,4.0,0.5,37.0,37.0,99.0,59.0,Wisconsin,33.0,44.0,115.0,37.0
Trollhaugen,Wisconsin,Wisconsin,1200.0,260.0,920.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,8.0,24.0,4.0,0.5,86.0,86.0,130.0,69.0,Wisconsin,54.0,54.0,120.0,86.0
Tyrol Basin,Wisconsin,Wisconsin,1160.0,300.0,860.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,18.0,5.0,0.5,32.0,32.0,112.0,61.0,Wisconsin,17.0,48.0,103.0,32.0
Whitecap Mountain,Wisconsin,Wisconsin,1750.0,400.0,1295.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,5.0,43.0,1.0,1.0,400.0,300.0,105.0,57.0,Wisconsin,60.0,60.0,118.0,0.0
Wilmot Mountain,Wisconsin,Wisconsin,1030.0,230.0,800.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,10.0,23.0,2.0,0.5,135.0,135.0,125.0,81.0,Wisconsin,56.0,66.0,139.0,135.0
Grand Targhee Resort,Wyoming,Wyoming,9920.0,2270.0,7851.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,5.0,95.0,1.0,2.7,2602.0,0.0,152.0,50.0,Wyoming,90.0,90.0,152.0,0.0
Hogadon Basin,Wyoming,Wyoming,8000.0,640.0,7400.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,28.0,1.0,0.6,92.0,32.0,121.0,61.0,Wyoming,48.0,48.0,95.0,0.0
Jackson Hole,Wyoming,Wyoming,10450.0,4139.0,6311.0,3.0,0.0,0.0,4.0,4.0,1.0,2.0,1.0,15.0,130.0,6.0,4.5,2500.0,195.0,130.0,54.0,Wyoming,57.91695652173913,64.1668100358423,133.0,0.0
Meadowlark Ski Lodge,Wyoming,Wyoming,9500.0,1000.0,8500.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,14.0,1.0,1.5,300.0,0.0,114.7324414715719,9.0,Wyoming,57.91695652173913,64.1668100358423,120.26086956521739,0.0
Sleeping Giant Ski Resort,Wyoming,Wyoming,7428.0,810.0,6619.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,48.0,1.0,1.0,184.0,18.0,61.0,81.0,Wyoming,42.0,42.0,77.0,0.0
Snow King Resort,Wyoming,Wyoming,7808.0,1571.0,6237.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,32.0,2.0,1.0,400.0,250.0,121.0,80.0,Wyoming,59.0,59.0,123.0,110.0
Snowy Range Ski & Recreation Area,Wyoming,Wyoming,9663.0,990.0,8798.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,5.0,33.0,2.0,0.7,75.0,30.0,131.0,59.0,Wyoming,49.0,49.0,131.0,0.0
White Pine Ski Area,Wyoming,Wyoming,9500.0,1100.0,8400.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,25.0,0.0,0.4,370.0,0.0,114.7324414715719,81.0,Wyoming,57.91695652173913,49.0,120.26086956521739,0.0
